image_path,class,source_dataset,original_label,domain,split
train/normal/EuroSAT_AnnualCrop_0.jpg,normal,EuroSAT,AnnualCrop,satellite,train
train/normal/EuroSAT_HerbaceousVegetation_1.jpg,normal,EuroSAT,HerbaceousVegetation,satellite,train
train/normal/EuroSAT_SeaLake_2.jpg,normal,EuroSAT,SeaLake,satellite,train
train/normal/EuroSAT_Industrial_3.jpg,normal,EuroSAT,Industrial,satellite,train
train/normal/EuroSAT_PermanentCrop_4.jpg,normal,EuroSAT,PermanentCrop,satellite,train
train/normal/EuroSAT_Pasture_5.jpg,normal,EuroSAT,Pasture,satellite,train
train/normal/EuroSAT_AnnualCrop_6.jpg,normal,EuroSAT,AnnualCrop,satellite,train
train/normal/EuroSAT_SeaLake_7.jpg,normal,EuroSAT,SeaLake,satellite,train
train/normal/EuroSAT_River_8.jpg,normal,EuroSAT,River,satellite,train
train/normal/EuroSAT_HerbaceousVegetation_9.jpg,normal,EuroSAT,HerbaceousVegetation,satellite,train
train/normal/EuroSAT_PermanentCrop_10.jpg,normal,EuroSAT,PermanentCrop,satellite,train
train/normal/EuroSAT_SeaLake_11.jpg,normal,EuroSAT,SeaLake,satellite,train
train/normal/EuroSAT_Industrial_12.jpg,normal,EuroSAT,Industrial,satellite,train
train/normal/EuroSAT_River_13.jpg,normal,EuroSAT,River,satellite,train
train/normal/EuroSAT_PermanentCrop_14.jpg,normal,EuroSAT,PermanentCrop,satellite,train
train/normal/EuroSAT_AnnualCrop_15.jpg,normal,EuroSAT,AnnualCrop,satellite,train
train/normal/EuroSAT_PermanentCrop_16.jpg,normal,EuroSAT,PermanentCrop,satellite,train
train/normal/EuroSAT_Industrial_17.jpg,normal,EuroSAT,Industrial,satellite,train
train/normal/EuroSAT_SeaLake_18.jpg,normal,EuroSAT,SeaLake,satellite,train
train/normal/EuroSAT_AnnualCrop_19.jpg,normal,EuroSAT,AnnualCrop,satellite,train
train/normal/EuroSAT_AnnualCrop_20.jpg,normal,EuroSAT,AnnualCrop,satellite,train
train/normal/EuroSAT_Forest_21.jpg,normal,EuroSAT,Forest,satellite,train
train/normal/EuroSAT_Residential_22.jpg,normal,EuroSAT,Residential,satellite,train
train/normal/EuroSAT_Forest_23.jpg,normal,EuroSAT,Forest,satellite,train
train/normal/EuroSAT_Forest_24.jpg,normal,EuroSAT,Forest,satellite,train
train/normal/EuroSAT_Industrial_25.jpg,normal,EuroSAT,Industrial,satellite,train
train/normal/EuroSAT_Pasture_26.jpg,normal,EuroSAT,Pasture,satellite,train
train/normal/EuroSAT_Industrial_27.jpg,normal,EuroSAT,Industrial,satellite,train
train/normal/EuroSAT_River_28.jpg,normal,EuroSAT,River,satellite,train
train/normal/EuroSAT_Industrial_29.jpg,normal,EuroSAT,Industrial,satellite,train
train/normal/EuroSAT_SeaLake_30.jpg,normal,EuroSAT,SeaLake,satellite,train
train/normal/EuroSAT_Forest_31.jpg,normal,EuroSAT,Forest,satellite,train
train/normal/EuroSAT_Industrial_32.jpg,normal,EuroSAT,Industrial,satellite,train
train/normal/EuroSAT_SeaLake_33.jpg,normal,EuroSAT,SeaLake,satellite,train
train/normal/EuroSAT_AnnualCrop_34.jpg,normal,EuroSAT,AnnualCrop,satellite,train
train/normal/EuroSAT_HerbaceousVegetation_35.jpg,normal,EuroSAT,HerbaceousVegetation,satellite,train
train/normal/EuroSAT_AnnualCrop_36.jpg,normal,EuroSAT,AnnualCrop,satellite,train
train/normal/EuroSAT_Residential_37.jpg,normal,EuroSAT,Residential,satellite,train
train/normal/EuroSAT_Industrial_38.jpg,normal,EuroSAT,Industrial,satellite,train
train/normal/EuroSAT_AnnualCrop_39.jpg,normal,EuroSAT,AnnualCrop,satellite,train
train/normal/EuroSAT_Pasture_40.jpg,normal,EuroSAT,Pasture,satellite,train
train/normal/EuroSAT_River_41.jpg,normal,EuroSAT,River,satellite,train
train/normal/EuroSAT_Forest_42.jpg,normal,EuroSAT,Forest,satellite,train
train/normal/EuroSAT_PermanentCrop_43.jpg,normal,EuroSAT,PermanentCrop,satellite,train
train/normal/EuroSAT_Industrial_44.jpg,normal,EuroSAT,Industrial,satellite,train
train/normal/EuroSAT_AnnualCrop_45.jpg,normal,EuroSAT,AnnualCrop,satellite,train
train/normal/EuroSAT_Residential_46.jpg,normal,EuroSAT,Residential,satellite,train
train/normal/EuroSAT_Forest_47.jpg,normal,EuroSAT,Forest,satellite,train
train/normal/EuroSAT_Industrial_48.jpg,normal,EuroSAT,Industrial,satellite,train
train/normal/EuroSAT_Pasture_49.jpg,normal,EuroSAT,Pasture,satellite,train
train/normal/EuroSAT_Pasture_50.jpg,normal,EuroSAT,Pasture,satellite,train
train/normal/EuroSAT_Forest_51.jpg,normal,EuroSAT,Forest,satellite,train
train/normal/EuroSAT_Industrial_52.jpg,normal,EuroSAT,Industrial,satellite,train
train/normal/EuroSAT_Forest_53.jpg,normal,EuroSAT,Forest,satellite,train
train/normal/EuroSAT_Residential_54.jpg,normal,EuroSAT,Residential,satellite,train
train/normal/EuroSAT_AnnualCrop_55.jpg,normal,EuroSAT,AnnualCrop,satellite,train
train/normal/EuroSAT_Residential_56.jpg,normal,EuroSAT,Residential,satellite,train
train/normal/EuroSAT_Industrial_57.jpg,normal,EuroSAT,Industrial,satellite,train
train/normal/EuroSAT_HerbaceousVegetation_58.jpg,normal,EuroSAT,HerbaceousVegetation,satellite,train
train/normal/EuroSAT_Forest_59.jpg,normal,EuroSAT,Forest,satellite,train
val/normal/EuroSAT_Pasture_0.jpg,normal,EuroSAT,Pasture,satellite,val
val/normal/EuroSAT_AnnualCrop_1.jpg,normal,EuroSAT,AnnualCrop,satellite,val
val/normal/EuroSAT_SeaLake_2.jpg,normal,EuroSAT,SeaLake,satellite,val
val/normal/EuroSAT_SeaLake_3.jpg,normal,EuroSAT,SeaLake,satellite,val
val/normal/EuroSAT_River_4.jpg,normal,EuroSAT,River,satellite,val
val/normal/EuroSAT_PermanentCrop_5.jpg,normal,EuroSAT,PermanentCrop,satellite,val
val/normal/EuroSAT_River_6.jpg,normal,EuroSAT,River,satellite,val
val/normal/EuroSAT_Pasture_7.jpg,normal,EuroSAT,Pasture,satellite,val
val/normal/EuroSAT_Industrial_8.jpg,normal,EuroSAT,Industrial,satellite,val
val/normal/EuroSAT_Pasture_9.jpg,normal,EuroSAT,Pasture,satellite,val
val/normal/EuroSAT_Industrial_10.jpg,normal,EuroSAT,Industrial,satellite,val
val/normal/EuroSAT_Industrial_11.jpg,normal,EuroSAT,Industrial,satellite,val
val/normal/EuroSAT_PermanentCrop_12.jpg,normal,EuroSAT,PermanentCrop,satellite,val
val/normal/EuroSAT_River_13.jpg,normal,EuroSAT,River,satellite,val
val/normal/EuroSAT_PermanentCrop_14.jpg,normal,EuroSAT,PermanentCrop,satellite,val
val/normal/EuroSAT_River_15.jpg,normal,EuroSAT,River,satellite,val
val/normal/EuroSAT_Industrial_16.jpg,normal,EuroSAT,Industrial,satellite,val
val/normal/EuroSAT_River_17.jpg,normal,EuroSAT,River,satellite,val
val/normal/EuroSAT_SeaLake_18.jpg,normal,EuroSAT,SeaLake,satellite,val
val/normal/EuroSAT_HerbaceousVegetation_19.jpg,normal,EuroSAT,HerbaceousVegetation,satellite,val
test/normal/EuroSAT_SeaLake_0.jpg,normal,EuroSAT,SeaLake,satellite,test
test/normal/EuroSAT_Pasture_1.jpg,normal,EuroSAT,Pasture,satellite,test
test/normal/EuroSAT_Industrial_2.jpg,normal,EuroSAT,Industrial,satellite,test
test/normal/EuroSAT_Forest_3.jpg,normal,EuroSAT,Forest,satellite,test
test/normal/EuroSAT_HerbaceousVegetation_4.jpg,normal,EuroSAT,HerbaceousVegetation,satellite,test
test/normal/EuroSAT_AnnualCrop_5.jpg,normal,EuroSAT,AnnualCrop,satellite,test
test/normal/EuroSAT_Residential_6.jpg,normal,EuroSAT,Residential,satellite,test
test/normal/EuroSAT_SeaLake_7.jpg,normal,EuroSAT,SeaLake,satellite,test
test/normal/EuroSAT_River_8.jpg,normal,EuroSAT,River,satellite,test
test/normal/EuroSAT_Pasture_9.jpg,normal,EuroSAT,Pasture,satellite,test
test/normal/EuroSAT_SeaLake_10.jpg,normal,EuroSAT,SeaLake,satellite,test
test/normal/EuroSAT_Residential_11.jpg,normal,EuroSAT,Residential,satellite,test
test/normal/EuroSAT_River_12.jpg,normal,EuroSAT,River,satellite,test
test/normal/EuroSAT_Residential_13.jpg,normal,EuroSAT,Residential,satellite,test
test/normal/EuroSAT_Industrial_14.jpg,normal,EuroSAT,Industrial,satellite,test
test/normal/EuroSAT_Pasture_15.jpg,normal,EuroSAT,Pasture,satellite,test
test/normal/EuroSAT_Pasture_16.jpg,normal,EuroSAT,Pasture,satellite,test
test/normal/EuroSAT_Pasture_17.jpg,normal,EuroSAT,Pasture,satellite,test
test/normal/EuroSAT_Industrial_18.jpg,normal,EuroSAT,Industrial,satellite,test
test/normal/EuroSAT_Residential_19.jpg,normal,EuroSAT,Residential,satellite,test
train/flood/rupakroy_Flood_0.jpg,flood,rupakroy,Flood,mixed_aerial_web,train
train/flood/rupakroy_Flood_1.jpg,flood,rupakroy,Flood,mixed_aerial_web,train
train/flood/rupakroy_Flood_2.jpg,flood,rupakroy,Flood,mixed_aerial_web,train
train/flood/rupakroy_Flood_3.jpg,flood,rupakroy,Flood,mixed_aerial_web,train
train/flood/rupakroy_Flood_4.jpg,flood,rupakroy,Flood,mixed_aerial_web,train
train/flood/rupakroy_Flood_5.jpg,flood,rupakroy,Flood,mixed_aerial_web,train
train/flood/rupakroy_Flood_6.jpg,flood,rupakroy,Flood,mixed_aerial_web,train
train/flood/rupakroy_Flood_7.jpg,flood,rupakroy,Flood,mixed_aerial_web,train
train/flood/rupakroy_Flood_8.jpg,flood,rupakroy,Flood,mixed_aerial_web,train
train/flood/rupakroy_Flood_9.jpg,flood,rupakroy,Flood,mixed_aerial_web,train
train/flood/rupakroy_Flood_10.jpg,flood,rupakroy,Flood,mixed_aerial_web,train
train/flood/rupakroy_Flood_11.jpg,flood,rupakroy,Flood,mixed_aerial_web,train
